epoch,loss,val_loss
0,2.768426190504259,1.4671475492265593
1,1.5072428166752878,1.2289773946680669
2,1.0984014629776448,1.1004282403707293
3,0.8031952474116162,1.0684997404201981
4,0.5663090353899333,1.0718095360499416
5,0.3791377620161661,1.087739386051902
6,0.23150455866917877,1.026525957232323
7,0.11808323488436481,1.0349406355040398
8,0.02170548525545877,0.9889971924812735
9,-0.0665999128804382,0.9940054499416626
10,-0.133646555483648,0.9754024148254821
11,-0.20158823204124096,0.9732234672513282
12,-0.256387498782104,0.9611129682493336
13,-0.3181882627039805,0.9516142117766958
14,-0.3586387227868001,0.9492136212488526
15,-0.4121588308111423,0.9890677581317195
16,-0.4535255071855461,0.9379164091727811
17,-0.5035086436826932,0.9245409867024825
18,-0.4819304780239864,0.9137725150676217
19,-0.5708187510446565,0.9017041523621864
20,-0.5974940233691567,0.9151462751439898
21,-0.6269033100657158,0.9444137715092568
22,-0.6516614222400005,1.0008134939501483
23,-0.6306968875995657,0.9722303721556913
24,-0.710555623140848,0.8835232262991582
25,-0.7509769934204187,0.9123209647852594
26,-0.780374368453456,0.8828169256241779
27,-0.7990557681578296,0.92645437140785
28,-0.7828419432212581,0.8808286748198655
29,-0.8448230005681189,0.8660843282622811
30,-0.867864291275106,1.0077376996653151
31,-0.8686744713658782,0.8857369162268233
32,-0.9362446962368395,0.8680166282462473
33,-0.9089225464578101,0.8742734890393765
34,-0.9743109068596443,0.9233131975212331
35,-0.926323231939103,0.9083129169509558
36,-0.9944383622766977,0.8688750206842529
37,-0.9598519183988202,0.8851843753737104
38,-0.9987848763452519,0.9399368670637687
39,-1.065708872577909,0.864172302726837
40,-1.0649471639333536,0.8598306082253613
41,-1.1118160085629432,0.9067068040856188
42,-1.130558267896479,0.9028711994054303
43,-1.1645028308151746,0.8652865518456488
44,-1.0712753667438655,0.8931869213782048
45,-1.1425369821204296,0.9846009876345094
46,-1.1289394618009367,0.887734940791419
47,-1.1870746489413289,1.0149500916375676
48,-1.2041705905188589,0.9429060120030536
49,-1.1132218549673678,0.9511674927726522
50,-1.1384300905646232,0.8748765334550841
51,-1.2633801350011282,1.070712536149566
52,-1.2009022534008105,0.9574578960129164
53,-1.0707940794062134,0.9525952737820877
54,-1.124350812471773,0.9689053749558633
55,-1.108655240671165,1.0138103413406017
56,-1.1376387126655245,0.996068450157589
57,-1.1701853396835564,0.9737427670495798
58,-1.180977507766043,1.1830971784919728
59,-1.1565975960665775,1.0157439611698071
60,-1.2605139339980371,1.1431625198397821
